system,query_id,latency_seconds,latency_p90_seconds,mrr,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
TF-IDF,Q135,0.006901665998157114,0.007249858998693526,0.5,0.4,0.4,0.38356636737133565,0.3,0.6,0.49055949973859936,0.15,0.6,0.49055949973859936
TF-IDF,Q136,0.006741500001226086,0.006773158001306001,0.14285714285714285,0.0,0.0,0.0,0.3,0.05,0.20641593223508903,0.3,0.1,0.23436553896961748
TF-IDF,Q137,0.006963624997297302,0.007104091200744733,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q138,0.006849249999504536,0.006880033998459112,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.10253313861822189
TF-IDF,Q139,0.0071806670021032915,0.007334858199465088,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q140,0.00714370800415054,0.007494099797622766,0.3333333333333333,0.4,0.2857142857142857,0.3156484524795145,0.2,0.2857142857142857,0.2558209594125084,0.1,0.2857142857142857,0.2558209594125084
TF-IDF,Q141,0.0070867500035092235,0.0074640413993620315,0.2,0.2,0.2,0.13120507751234178,0.1,0.2,0.13120507751234178,0.05,0.2,0.13120507751234178
TF-IDF,Q142,0.00691312499839114,0.007097166599123739,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q143,0.00756566700147232,0.008135766397754197,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q144,0.00784462499723304,0.007890775003761518,0.125,0.0,0.0,0.0,0.2,0.6666666666666666,0.2893079283427616,0.1,0.6666666666666666,0.2893079283427616
TF-IDF,Q145,0.008055166996200569,0.00869402539829025,0.5,0.4,0.5,0.4144299250118475,0.3,0.75,0.5375811193822125,0.15,0.75,0.5375811193822125
TF-IDF,Q146,0.007584416998724919,0.007715008599916473,0.14285714285714285,0.0,0.0,0.0,0.2,0.5,0.2476427880871277,0.1,0.5,0.2476427880871277
TF-IDF,Q147,0.007013041999016423,0.007251575001282618,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.0890802702182344
TF-IDF,Q148,0.006838041001174133,0.007207608201133553,0.3333333333333333,0.4,0.5,0.34620964322385606,0.2,0.5,0.34620964322385606,0.1,0.5,0.34620964322385606
TF-IDF,Q149,0.007339083997067064,0.007740883198857773,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q150,0.007222541004011873,0.007327657796849962,0.5,0.4,0.6666666666666666,0.5307212739772434,0.2,0.6666666666666666,0.5307212739772434,0.1,0.6666666666666666,0.5307212739772434
TF-IDF,Q151,0.007396084001811687,0.00760408319911221,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q152,0.006846083000709768,0.007358049998583738,0.0027472527472527475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q153,0.007242040999699384,0.007316725001146551,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.0890802702182344
TF-IDF,Q154,0.006823208001151215,0.0068523918016580865,0.5,0.4,0.4,0.38356636737133565,0.4,0.8,0.5837030483256044,0.2,0.8,0.5837030483256044
TF-IDF,Q155,0.006913625002198387,0.007279416399251204,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q156,0.006711833004374057,0.006956383402575738,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q157,0.00679725000372855,0.0069153497999650424,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q158,0.006788250000681728,0.007034549601667095,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.08133484538841967
TF-IDF,Q159,0.007088124999427237,0.007181424798909574,0.0012706480304955528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q160,0.006873792000988033,0.006915791798382998,0.3333333333333333,0.6,0.75,0.5143371794949736,0.3,0.75,0.5143371794949736,0.2,1.0,0.6062361228636282
TF-IDF,Q161,0.0069596670000464655,0.0071473499963758515,1.0,0.6,1.0,1.0,0.3,1.0,1.0,0.15,1.0,1.0
